name,price,specs,ram_gb,display_inch,camera_mp,battery_mah
OPPO F31 5G,23999.0,"['8 GB RAM | 128 GB ROM', '16.69 cm (6.57 inch) Full HD+ Display', '50MP + 2MP | 16MP Front Camera', '7000 mAh Battery', 'Dimensity 6300 Processor', '1 Year brand warranty']",8.0,6.57,50.0,7000.0
OPPO Reno14 5G,39999.0,"['12 GB RAM | 256 GB ROM', '16.74 cm (6.59 inch) Display', '50MP + 8MP + 50MP | 50MP Front Camera', '6000 mAh Battery', 'Dimensity 8350 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",12.0,6.59,50.0,6000.0
OPPO F31 5G,25999.0,"['8 GB RAM | 256 GB ROM', '16.69 cm (6.57 inch) Full HD+ Display', '50MP + 2MP | 16MP Front Camera', '7000 mAh Battery', 'Dimensity 6300 Processor', '1 Year brand warranty']",8.0,6.57,50.0,7000.0
OPPO K13 Turbo 5G,29999.0,"['8 GB RAM | 256 GB ROM', '17.27 cm (6.8 inch) Full HD+ Display', '50MP + 2MP | 16MP Front Camera', '7000 mAh Battery', 'Dimensity 8450 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.8,50.0,7000.0
OPPO F29 5G,21999.0,"['8 GB RAM | 128 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 2MP | 16MP Front Camera', '6500 mAh Battery', '6 Gen 1 Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']",8.0,6.7,50.0,6500.0
OPPO F31 5G,25999.0,"['8 GB RAM | 256 GB ROM', '16.69 cm (6.57 inch) Full HD+ Display', '50MP + 2MP | 16MP Front Camera', '7000 mAh Battery', 'Dimensity 6300 Processor', '1 Year brand warranty']",8.0,6.57,50.0,7000.0
OPPO F31 5G,25999.0,"['8 GB RAM | 256 GB ROM', '16.69 cm (6.57 inch) Full HD+ Display', '50MP + 2MP | 16MP Front Camera', '7000 mAh Battery', 'Dimensity 6300 Processor', '1 Year brand warranty']",8.0,6.57,50.0,7000.0
OPPO Reno14 5G,37999.0,"['8 GB RAM | 256 GB ROM', '16.74 cm (6.59 inch) Display', '50MP + 8MP + 50MP | 50MP Front Camera', '6000 mAh Battery', 'Dimensity 8350 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.59,50.0,6000.0
OPPO Reno14 5G,39999.0,"['12 GB RAM | 256 GB ROM', '16.74 cm (6.59 inch) Display', '50MP + 8MP + 50MP | 50MP Front Camera', '6000 mAh Battery', 'Dimensity 8350 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",12.0,6.59,50.0,6000.0
OPPO Reno14 5G,37999.0,"['8 GB RAM | 256 GB ROM', '16.74 cm (6.59 inch) Display', '50MP + 8MP + 50MP | 50MP Front Camera', '6000 mAh Battery', 'Dimensity 8350 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.59,50.0,6000.0
OPPO Reno14 5G,39999.0,"['8 GB RAM | 256 GB ROM', '16.74 cm (6.59 inch) Display', '50MP + 8MP + 50MP | 50MP Front Camera', '6000 mAh Battery', 'Dimensity 8350 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.59,50.0,6000.0
OPPO F31 5G,23999.0,"['8 GB RAM | 128 GB ROM', '16.69 cm (6.57 inch) Full HD+ Display', '50MP + 2MP | 16MP Front Camera', '7000 mAh Battery', 'Dimensity 6300 Processor', '1 Year brand warranty']",8.0,6.57,50.0,7000.0
OPPO Reno13 5G,30999.0,"['8 GB RAM | 256 GB ROM', '16.74 cm (6.59 inch) Display', '50MP + 8MP + 2MP | 50MP Front Camera', '5600 mAh Battery', 'Dimensity 8350 Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']",8.0,6.59,50.0,5600.0
OPPO A5 Pro 5G,20814.0,"['8 GB RAM | 256 GB ROM', '16.94 cm (6.67 inch) Display', '50MP + 2MP | 8MP Front Camera', '5800 mAh Battery', 'Dimensity 6300 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.67,50.0,5800.0
OPPO K13 Turbo 5G,29999.0,"['8 GB RAM | 256 GB ROM', '17.27 cm (6.8 inch) Full HD+ Display', '50MP + 2MP | 16MP Front Camera', '7000 mAh Battery', 'Dimensity 8450 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.8,50.0,7000.0
OPPO Reno13 5G,35999.0,"['8 GB RAM | 128 GB ROM', '16.74 cm (6.59 inch) Display', '50MP + 8MP + 2MP | 50MP Front Camera', '5600 mAh Battery', 'Dimensity 8350 Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']",8.0,6.59,50.0,5600.0
OPPO Reno10 5G,28073.0,"['8 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '64MP + 32MP + 8MP | 32MP Front Camera', '5000 mAh Battery', 'Mediatek Dimensity 7050 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']",8.0,6.7,64.0,5000.0
OPPO Reno 12 5G,31999.0,"['8 GB RAM | 256 GB ROM | Expandable Upto 1 TB', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 2MP | 32MP Front Camera', '5000 mAh Battery', 'Dimensity 7300 Energy Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.7,50.0,5000.0
OPPO Reno13 5G,28989.0,"['8 GB RAM | 128 GB ROM', '16.74 cm (6.59 inch) Display', '50MP + 8MP + 2MP | 50MP Front Camera', '5600 mAh Battery', 'Dimensity 8350 Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']",8.0,6.59,50.0,5600.0
OPPO F29 5G,23999.0,"['8 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 2MP | 16MP Front Camera', '6500 mAh Battery', '6 Gen 1 Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']",8.0,6.7,50.0,6500.0
OPPO Reno13 5G,32824.0,"['8 GB RAM | 256 GB ROM', '16.74 cm (6.59 inch) Display', '50MP + 8MP + 2MP | 50MP Front Camera', '5600 mAh Battery', 'Dimensity 8350 Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']",8.0,6.59,50.0,5600.0
OPPO Reno 12 5G,27999.0,"['8 GB RAM | 256 GB ROM | Expandable Upto 1 TB', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 2MP | 32MP Front Camera', '5000 mAh Battery', 'Dimensity 7300 Energy Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.7,50.0,5000.0
OPPO Reno13 5G,41999.0,"['12 GB RAM | 512 GB ROM', '16.74 cm (6.59 inch) Display', '50MP + 8MP + 2MP | 50MP Front Camera', '5600 mAh Battery', 'Dimensity 8350 Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']",12.0,6.59,50.0,5600.0
OPPO F 29 Pro 5G,20970.0,"['8 GB RAM | 128 GB ROM | Expandable Upto 128 GB', '17.02 cm (6.7 inch) Full HD+ AMOLED Display', '50MP + 50MP | 50MP + 2MP Dual Front Camera', '6000 mAh Battery', 'MediaTek Dimensity 7300 Processor', 'on Handset and 6 Months Warranty on Accessories; Domestic Warranty: 1 Year']",8.0,6.7,50.0,6000.0
OPPO Reno8T 5G,27299.0,"['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.02 cm (6.7 inch) Full HD+ Display', '108MP + 2MP + 2MP | 32MP Front Camera', '4800 mAh Lithium-ion Polymer Battery', 'Qualcomm Snapdragon 695 Processor', '67W SUPERVOOC TM Charger I Dual Stereo Speakers', '120Hz 3D Curved AMOLED Screen', '1 Year on Handset and 6 Months on Accessories']",8.0,6.7,108.0,4800.0
OPPO A3 Pro 5G,20999.0,"['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.94 cm (6.67 inch) Full HD Display', '50MP + 50MP + 2MP | 13MP Dual Front Camera', '5100 mAh Battery', 'Dimensity 6300 5G Mobile Platform Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.67,50.0,5100.0
OPPO Reno 12 Pro 5G,35999.0,"['12 GB RAM | 512 GB ROM | Expandable Upto 1 TB', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 50MP | 50MP Front Camera', '5000 mAh Battery', 'Dimensity 7300 Energy Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",12.0,6.7,50.0,5000.0
