name,price,specs,ram_gb,display_inch,camera_mp,battery_mah
realme 15 Pro 5G,35999.0,"['12 GB RAM | 256 GB ROM', '17.27 cm (6.8 inch) Display', '50MP + 50MP | 50MP Front Camera', '7000 mAh Battery', 'Snapdragon 7 Gen 4 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",12.0,6.8,50.0,7000.0
realme 15 5G,27999.0,"['8 GB RAM | 256 GB ROM', '17.27 cm (6.8 inch) Display', '50MP + 8MP | 50MP Front Camera', '7000 mAh Battery', 'Mediatek Dimensity 7300+ 5G Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.8,50.0,7000.0
realme 14 Pro+ 5G,24999.0,"['8 GB RAM | 256 GB ROM', '17.35 cm (6.83 inch) Display', '50MP + 50MP + 8MP | 32MP Front Camera', '6000 mAh Battery', '7s Gen 3 Mobile Platform Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.83,50.0,6000.0
realme 12+ 5G,20999.0,"['8 GB RAM | 128 GB ROM | Expandable Upto 2 TB', '16.94 cm (6.67 inch) Full HD+ Display', '50MP + 8MP + 2MP | 16MP Front Camera', '5000 mAh Battery', 'Dimensity 7050 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.67,50.0,5000.0
realme P4 5G,20999.0,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 8MP | 16MP Front Camera', '7000 mAh Battery', 'Mediatek Dimensity 7400 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.77,50.0,7000.0
realme 15 Pro 5G,33999.0,"['8 GB RAM | 256 GB ROM', '17.27 cm (6.8 inch) Display', '50MP + 50MP | 50MP Front Camera', '7000 mAh Battery', 'Snapdragon 7 Gen 4 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.8,50.0,7000.0
realme P4 Pro 5G,25999.0,"['8 GB RAM | 256 GB ROM', '17.27 cm (6.8 inch) Display', '50MP + 8MP | 50MP Front Camera', '7000 mAh Battery', 'Snapdragon 7 Gen 4 Mobile Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.8,50.0,7000.0
realme 13+ 5G,20999.0,"['8 GB RAM | 256 GB ROM | Expandable Upto 2 TB', '16.94 cm (6.67 inch) Full HD+ Display', '50MP + 2MP | 16MP Front Camera', '5000 mAh Battery', 'Dimensity 7300 Energy Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.67,50.0,5000.0
realme P3 Ultra 5G,21999.0,"['8 GB RAM | 128 GB ROM', '17.35 cm (6.83 inch) Display', '50MP + 8MP | 16MP Front Camera', '6000 mAh Battery', 'Dimensity 8350 Ultra Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.83,50.0,6000.0
realme 15 Pro 5G,35999.0,"['12 GB RAM | 256 GB ROM', '17.27 cm (6.8 inch) Display', '50MP + 50MP | 50MP Front Camera', '7000 mAh Battery', 'Snapdragon 7 Gen 4 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",12.0,6.8,50.0,7000.0
