name,price,specs,ram_gb,display_inch,camera_mp,battery_mah
vivo T4R 5G,23499.0,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Display', '50MP (OIS) + 2MP | 32MP Front Camera', '5700 mAh Battery', 'Dimensity 7400 5G Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.77,50.0,5700.0
vivo T4R 5G,23499.0,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Display', '50MP (OIS) + 2MP | 32MP Front Camera', '5700 mAh Battery', 'Dimensity 7400 5G Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.77,50.0,5700.0
vivo T4 5G,22999.0,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP (OIS) + 2MP | 32MP Front Camera', '7300 mAh Battery', 'Snapdragon 7s Gen 3 5G Processor', '1 Year Warranty on the Handset and 6 Months Warranty on Inbox Accessories']",8.0,6.77,50.0,7300.0
vivo T4R 5G,21499.0,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP (OIS) + 2MP | 32MP Front Camera', '5700 mAh Battery', 'Dimensity 7400 5G Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.77,50.0,5700.0
vivo T4 5G,20999.0,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Display', '50MP (OIS) + 2MP | 32MP Front Camera', '7300 mAh Battery', 'Snapdragon 7s Gen 3 5G Processor', '1 Year Warranty on the Handset and 6 Months Warranty on Inbox Accessories']",8.0,6.77,50.0,7300.0
vivo T4 5G,24999.0,"['12 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP (OIS) + 2MP | 32MP Front Camera', '7300 mAh Battery', 'Snapdragon 7s Gen 3 5G Processor', '1 Year Warranty on the Handset and 6 Months Warranty on Inbox Accessories']",12.0,6.77,50.0,7300.0
vivo T4 5G,22999.0,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP (OIS) + 2MP | 32MP Front Camera', '7300 mAh Battery', 'Snapdragon 7s Gen 3 5G Processor', '1 Year Warranty on the Handset and 6 Months Warranty on Inbox Accessories']",8.0,6.77,50.0,7300.0
vivo T4R 5G,23499.0,"['12 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP (OIS) + 2MP | 32MP Front Camera', '5700 mAh Battery', 'Dimensity 7400 5G Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",12.0,6.77,50.0,5700.0
vivo T4 5G,20999.0,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Display', '50MP (OIS) + 2MP | 32MP Front Camera', '7300 mAh Battery', 'Snapdragon 7s Gen 3 5G Processor', '1 Year Warranty on the Handset and 6 Months Warranty on Inbox Accessories']",8.0,6.77,50.0,7300.0
vivo T4R 5G,23499.0,"['12 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP (OIS) + 2MP | 32MP Front Camera', '5700 mAh Battery', 'Dimensity 7400 5G Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",12.0,6.77,50.0,5700.0
vivo T4 Pro 5G,29999.0,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 2MP + 50MP | 32MP Front Camera', '6500 mAh Battery', '7 Gen 4 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.77,50.0,6500.0
vivo T4R 5G,21499.0,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP (OIS) + 2MP | 32MP Front Camera', '5700 mAh Battery', 'Dimensity 7400 5G Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.77,50.0,5700.0
vivo V60 5G,38999.0,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 8MP + 50MP | 50MP Front Camera', '6500 mAh Battery', '7 Gen 4 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.77,50.0,6500.0
vivo T4 Ultra 5G,35999.0,"['8 GB RAM | 256 GB ROM', '16.94 cm (6.67 inch) Full HD+ AMOLED Display', '50MP + 8MP + 50MP Periscope | 32MP Front Camera', '5500 mAh Battery', 'Dimensity 9300+ Processor', '1 Year Warranty on the Product and 6 Months Warranty on Inbox Accessories']",8.0,6.67,50.0,5500.0
vivo T4 5G,24999.0,"['12 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP (OIS) + 2MP | 32MP Front Camera', '7300 mAh Battery', 'Snapdragon 7s Gen 3 5G Processor', '1 Year Warranty on the Handset and 6 Months Warranty on Inbox Accessories']",12.0,6.77,50.0,7300.0
vivo V50e 5G,24849.0,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 8MP | 50MP Front Camera', '5600 mAh Battery', 'Dimensity 7300 Processor', '1 Year Warranty on the Product and 6 Months Warranty on Inbox Accessories']",8.0,6.77,50.0,5600.0
vivo T4 Pro 5G,31999.0,"['12 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 2MP + 50MP | 32MP Front Camera', '6500 mAh Battery', '7 Gen 4 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",12.0,6.77,50.0,6500.0
vivo V60 5G,40999.0,"['12 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 8MP + 50MP | 50MP Front Camera', '6500 mAh Battery', '7 Gen 4 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",12.0,6.77,50.0,6500.0
vivo V60e,31999.0,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Full HD+ Display', '200MP + 8MP | 50MP Front Camera', '6500 mAh Battery', 'Dimensity 7360-Turbo Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.77,200.0,6500.0
vivo T4 Pro 5G,27999.0,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 2MP + 50MP | 32MP Front Camera', '6500 mAh Battery', '7 Gen 4 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.77,50.0,6500.0
vivo T4 Pro 5G,29999.0,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 2MP + 50MP | 32MP Front Camera', '6500 mAh Battery', '7 Gen 4 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.77,50.0,6500.0
vivo T3 Pro 5G,22999.0,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Full HD+ AMOLED Display', '50MP + 8MP | 16MP Front Camera', '5500 mAh Battery', 'Snapdragon 7 Gen 3 Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']",8.0,6.77,50.0,5500.0
vivo V60 5G,38999.0,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 8MP + 50MP | 50MP Front Camera', '6500 mAh Battery', '7 Gen 4 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.77,50.0,6500.0
vivo V50 5G,29512.0,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 50MP | 50MP Front Camera', '6000 mAh Battery', '7 Gen 3 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories']",8.0,6.77,50.0,6000.0
vivo V50e 5G,23749.0,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 8MP | 50MP Front Camera', '5600 mAh Battery', 'Dimensity 7300 Processor', '1 Year Warranty on the Product and 6 Months Warranty on Inbox Accessories']",8.0,6.77,50.0,5600.0
vivo V60 5G,40999.0,"['12 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 8MP + 50MP | 50MP Front Camera', '6500 mAh Battery', '7 Gen 4 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",12.0,6.77,50.0,6500.0
vivo Y400 5G,23999.0,"['8 GB RAM | 256 GB ROM', '17.12 cm (6.74 inch) Display', '50MP + 2MP | 32MP Front Camera', '6000 mAh Battery', '4 Gen 2 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.74,50.0,6000.0
vivo Y400 5G,23999.0,"['8 GB RAM | 256 GB ROM', '17.12 cm (6.74 inch) Display', '50MP + 2MP | 32MP Front Camera', '6000 mAh Battery', '4 Gen 2 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.74,50.0,6000.0
vivo V60 5G,45999.0,"['16 GB RAM | 512 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 8MP + 50MP | 50MP Front Camera', '6500 mAh Battery', '7 Gen 4 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",16.0,6.77,50.0,6500.0
vivo T4 Pro 5G,27999.0,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 2MP + 50MP | 32MP Front Camera', '6500 mAh Battery', '7 Gen 4 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.77,50.0,6500.0
vivo T4 Ultra 5G,35999.0,"['8 GB RAM | 256 GB ROM', '16.94 cm (6.67 inch) Full HD+ AMOLED Display', '50MP + 8MP + 50MP Periscope | 32MP Front Camera', '5500 mAh Battery', 'Dimensity 9300+ Processor', '1 Year Warranty on the Product and 6 Months Warranty on Inbox Accessories']",8.0,6.67,50.0,5500.0
vivo V60 5G,45999.0,"['16 GB RAM | 512 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 8MP + 50MP | 50MP Front Camera', '6500 mAh Battery', '7 Gen 4 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",16.0,6.77,50.0,6500.0
vivo V50e 5G,23880.0,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 8MP | 50MP Front Camera', '5600 mAh Battery', 'Dimensity 7300 Processor', '1 Year Warranty on the Product and 6 Months Warranty on Inbox Accessories']",8.0,6.77,50.0,5600.0
vivo V50 5G,31499.0,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 50MP | 50MP Front Camera', '6000 mAh Battery', '7 Gen 3 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories']",8.0,6.77,50.0,6000.0
vivo V60 5G,38999.0,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 8MP + 50MP | 50MP Front Camera', '6500 mAh Battery', '7 Gen 4 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.77,50.0,6500.0
vivo T4 Pro 5G,31999.0,"['12 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 2MP + 50MP | 32MP Front Camera', '6500 mAh Battery', '7 Gen 4 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",12.0,6.77,50.0,6500.0
